Category_Name,Category_Id
event,TI-1000102
wonderful-indonesia,WO-1000026
jasa-transportasi,TR-1000077
jelajah-dunia,JE-1000058
perlengkapan-perjalanan,TI-1000111
tiket-atraksi-taman-hiburan,TI-1000110
donasi-qurban,BL-1000121
edukasi,ED-1000027
investasi-asuransi,AS-1000040
jasa,JA-1000128
kartu-uang-elektronik,KA-1000283
media-digital,DI-1000076
streaming,ST-1000197
voucher-belanja,VO-1000052
voucher-kesehatan-kecantikan,VO-1000067
voucher-makan,VO-1000054
mesin-cuci-pengering,ME-1000003
perlengkapan-elektronik-dapur,PE-1000017
audio,AU-1000001
kulkas-chiller-freezer,KU-1000002
cooling-heating-air-quality,PE-1000014
home-appliances,HO-1000004
televisi-aksesoris,TE-1000002
smart-home-security,SM-1000028
mobil,MO-1000063
sepeda-motor,MO-1000008
alat-alat-berat,AL-1000062
aksesoris-motor,AK-1000072
suku-cadang-motor,SU-1000012
suku-cadang-mobil,SU-1000014
audio-video-mobil,AU-1000005
perlengkapan-berkendara,KE-1000039
aksesoris-mobil,IN-1000054
perawatan-kendaraan,PE-1000164
official-merchandise-automotive,OF-1000007
peralatan-kendaraan,PE-1000180
asuransi-kendaraan,AS-1000001
lari,LA-1000013
olahraga-air,OL-1000005
golf,GO-1000001
bela-diri,BE-1000006
skate,SK-1000004
tennis,TE-1000015
hiking-camping,HI-1000005
olahraga-lainnya,OL-1000028
sepakbola,SE-1000018
fitness,FI-1000006
badminton,BA-1000024
olahraga-sepeda,SE-1000017
basketballs,BA-1000025
action-figure-statue,AC-1000004
sepeda-skuter-ride-on,BI-1000003
building-sets-blocks,BU-1000004
aneka-boneka,AN-1000004
mainan-edukasi-dan-seni,PE-1000025
buku,BU-1000002
permainan-aksi-luar-ruang,PE-1000026
die-cast-r-c,DI-1000005
model-kit,MO-1000004
tcg-games-puzzles,GA-1000005
hobi-koleksi,HO-1000072
majalah,MA-1000002
mainan-bayi-balita,MA-1000338
stationery,ST-1000002
logam-mulia,LO-1000028
perhiasan-emas-berlian,PE-1000538
batu-mulia,BA-1000335
komputer,KO-1000005
media-penyimpanan,ME-1000002
aksesoris-komputer,AK-1000002
peralatan-gaming,PE-1000004
printer-refill,PR-1000001
scanner,SC-1000001
facsimile-refill,FA-1000003
multimedia,MU-1000001
perlengkapan-kantor,PE-1000005
make-up,MA-1000015
fitness-supplement,GY-1000002
perawatan-wajah,PE-1000098
perawatan-tubuh,PE-1000099
perawatan-rambut,PE-1000100
alat-penata-rambut,PR-1000013
kutek-perawatan-kuku,KU-1000018
salon-profesional-spa,SA-1000007
farmasi-suplemen-kesehatan,FA-1000010
kesehatan-mulut-gigi-mata-telinga,SO-1000039
peralatan-medis,PE-1000102
pengharum-parfum,PE-1000104
perawatan-pria,PE-1000105
pembalut-produk-kewanitaan,PE-1000118
p3k,OB-1000002
vitamin-suplemen,VI-1000052
diet-nutrisi,OB-1000001
perangkat-kecantikan,PE-1000018
21-kesehatan-seksual,KE-1000203
aksesoris-kamera-digital,AK-1000004
baterai-kamera,BA-1000003
flash-kamera,FL-1000003
kamera-digital,KA-1000002
kamera-video,KA-1000004
lensa-kamera,LE-1000001
tas-case,TA-1000006
aksesoris-jam-tangan,AK-1000005
jam-tangan-pria,JA-1000008
jam-tangan-wanita,JA-1000033
ibu-hamil-menyusui,IB-1000002
keamanan-bayi-dan-balita,KE-1000032
peralatan-mandi-perawatan-kulit-bayi,PE-1000114
perlengkapan-bayi,PE-1000115
perlengkapan-makan-anak,PE-1000116
fashion-anak,FA-1000073
nutrisi-vitamin-anak,NU-1000003
perlengkapan-makan-bayi,PE-1000135
paket-pendidikan-kegiatan-anak,PA-1000182
sewa-perlengkapan-anak,SE-1000204
perlengkapan-kamar-tidur,PE-1000006
perlengkapan-kamar-mandi,PE-1000007
dekorasi,DE-1000001
furniture-ruang-keluarga,FU-1000001
furniture-anak,FU-1000003
furniture-kamar-tidur,FU-1000004
furniture-kantor,FU-1000005
furniture-ruang-makan-dapur,FU-1000006
hobby-interest,HO-1000003
jam,JA-1000003
peralatan-taman-luar-ruang,PE-1000009
perkakas-rumah-tangga,PE-1000010
perlengkapan-dapur,PE-1000012
perlengkapan-ruang-makan,PE-1000013
travelling,TR-1000004
apartemen,AP-1000012
rumah,RU-1000049
furniture-jepara,FU-1000051
wearable-gadget,WE-1000001
tukar-tambah,TU-1000021
aksesoris-handphone-tablet,AK-1000001
tablet,TA-1000003
handphone,HA-1000002
pakaian-wanita,PA-1000010
batik-etnik-wanita,BA-1000026
sepatu-sandal-wanita,SE-1000025
tas-wanita,TA-1000023
aksesoris-fashion-wanita,AK-1000074
baju-tidur-pakaian-dalam-wanita,BA-1000375
wedding,WE-1000024
baju-atasan-formal-pria,BA-1000008
bawahan-pria,BA-1000016
baju-batik-etnik-pria,BA-1000011
pakaian-dalam-tidur-pria,PA-1000005
tas-dompet-pria,TA-1000013
aneka-aksesoris-pria,AK-1000025
sepatu-sandal-pria,SE-1000008
aksesoris-muslim,AK-1000371
atasan-muslim-wanita,AT-1000004
baju-bayi-muslim,BA-1000530
baju-muslim-set,BA-1000516
baju-olahraga-muslim,BA-1000523
bawahan-muslim-wanita,BA-1000513
dress-muslim-wanita,DR-1000065
hijab-jilbab,HI-1000101
homewear-muslim-wanita,HO-1000069
outwear-muslim-wanita,OU-1000016
pakaian-muslim-anak-laki,PA-1000337
pakaian-muslim-anak-perempuan,PA-1000341
pakaian-muslim-pria,PA-1000339
perlengkapan-ibadah,PE-1001087
telur,TE-1000100
hewan-peliharaan-pet-supplies,HE-1000002
21,21-1000002
daging-segar-seafood-makanan-beku,DA-1000071
kuliner-internasional,KU-1000077
perawatan-rumah-tangga,PE-1000640
kebutuhan-ibu-anak,KE-1000180
perawatan-kulit-tubuh,PE-1000641
minuman,MI-1000107
sayuran-buah-buahan,SA-1000187
sembako-bumbu-masak,MA-1000160
menu-restoran,ME-1000155
aneka-cemilan,AN-1000092
roti-sereal-selai,RO-1000049
